 #                                                                                ref per =   0.0 secs


  level    radius        rho         vpv         vph         vsv         vsh         eta         qmu         qkap
    69    678394.1     3605.55     6537.92     6537.92     4831.81     4831.81     1.00000        0.00        0.00
    70    688672.8     3604.80     6535.41     6535.41     4831.02     4831.02     1.00000        0.00        0.00
    71    698951.5     3604.03     6532.88     6532.88     4830.23     4830.23     1.00000        0.00        0.00
    72    709230.2     3603.26     6530.33     6530.33     4829.42     4829.42     1.00000        0.00        0.00
    73    719508.9     3602.48     6527.76     6527.76     4828.61     4828.61     1.00000        0.00        0.00
    74    729787.6     3601.70     6525.16     6525.16     4827.79     4827.79     1.00000        0.00        0.00
    75    740066.3     3600.91     6522.54     6522.54     4826.96     4826.96     1.00000        0.00        0.00
    76    750345.0     3600.11     6519.90     6519.90     4826.12     4826.12     1.00000        0.00        0.00
    77    760623.7     3599.31     6517.23     6517.23     4825.28     4825.28     1.00000        0.00        0.00
    78    770902.4     3598.50     6514.54     6514.54     4824.44     4824.44     1.00000        0.00        0.00
    79    781181.1     3597.68     6511.83     6511.83     4823.58     4823.58     1.00000        0.00        0.00
    80    791459.8     3596.86     6509.09     6509.09     4822.72     4822.72     1.00000        0.00        0.00
    81    801738.5     3596.03     6506.34     6506.34     4821.85     4821.85     1.00000        0.00        0.00
    82    812017.2     3595.19     6503.56     6503.56     4820.98     4820.98     1.00000        0.00        0.00
    83    822295.9     3594.35     6500.76     6500.76     4820.09     4820.09     1.00000        0.00        0.00
    84    832574.6     3593.50     6497.93     6497.93     4819.20     4819.20     1.00000        0.00        0.00
    85    842853.2     3592.64     6495.08     6495.08     4818.31     4818.31     1.00000        0.00        0.00
    86    853131.9     3591.78     6492.21     6492.21     4817.41     4817.41     1.00000        0.00        0.00
    87    863410.7     3590.91     6489.32     6489.32     4816.50     4816.50     1.00000        0.00        0.00
    88    873689.3     3590.04     6486.40     6486.40     4815.58     4815.58     1.00000        0.00        0.00
    89    883968.1     3589.15     6483.46     6483.46     4814.65     4814.65     1.00000        0.00        0.00
    90    894246.8     3588.27     6480.50     6480.50     4813.72     4813.72     1.00000        0.00        0.00
    91    904525.4     3587.37     6477.52     6477.52     4812.79     4812.79     1.00000        0.00        0.00
    92    914804.1     3586.47     6474.51     6474.51     4811.84     4811.84     1.00000        0.00        0.00
    93    925082.8     3585.56     6471.48     6471.48     4810.89     4810.89     1.00000        0.00        0.00
    94    935361.5     3584.64     6468.42     6468.42     4809.93     4809.93     1.00000        0.00        0.00
    95    945640.2     3583.72     6465.35     6465.35     4808.96     4808.96     1.00000        0.00        0.00
    96    955918.9     3582.79     6462.24     6462.24     4807.99     4807.99     1.00000        0.00        0.00
    97    966197.6     3581.85     6459.12     6459.12     4807.01     4807.01     1.00000        0.00        0.00
    98    976476.3     3580.91     6455.97     6455.97     4806.02     4806.02     1.00000        0.00        0.00
    99    986755.0     3579.96     6452.80     6452.80     4805.03     4805.03     1.00000        0.00        0.00
   100    997033.7     3579.00     6449.60     6449.60     4804.02     4804.02     1.00000        0.00        0.00
   101   1007312.4     3578.04     6446.38     6446.38     4803.02     4803.02     1.00000        0.00        0.00
   102   1017591.1     3577.07     6443.13     6443.13     4802.00     4802.00     1.00000        0.00        0.00
   103   1027869.8     3576.09     6439.86     6439.86     4800.97     4800.97     1.00000        0.00        0.00
   104   1038148.5     3575.11     6436.57     6436.57     4799.94     4799.94     1.00000        0.00        0.00
   105   1048427.2     3574.12     6433.25     6433.25     4798.90     4798.90     1.00000        0.00        0.00
   106   1058705.9     3573.12     6429.90     6429.90     4797.85     4797.85     1.00000        0.00        0.00
   107   1068984.6     3572.11     6426.53     6426.53     4796.80     4796.80     1.00000        0.00        0.00
   108   1079263.3     3571.10     6423.13     6423.13     4795.73     4795.73     1.00000        0.00        0.00
   109   1089542.0     3570.08     6419.71     6419.71     4794.66     4794.66     1.00000        0.00        0.00
   110   1099820.7     3569.05     6416.26     6416.26     4793.59     4793.59     1.00000        0.00        0.00
   111   1110099.4     3568.01     6412.78     6412.78     4792.50     4792.50     1.00000        0.00        0.00
   112   1120378.1     3566.97     6409.28     6409.28     4791.40     4791.40     1.00000        0.00        0.00
   113   1130656.8     3565.92     6405.75     6405.75     4790.30     4790.30     1.00000        0.00        0.00
   114   1140935.5     3564.86     6402.19     6402.19     4789.19     4789.19     1.00000        0.00        0.00
   115   1151214.2     3563.79     6398.61     6398.61     4788.07     4788.07     1.00000        0.00        0.00
   116   1161492.9     3562.72     6394.99     6394.99     4786.94     4786.94     1.00000        0.00        0.00
